particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
139,3591.8853759765625,3098.0865478515625,1600.846872857143,1600.83756,1599.875,497684.53,79.93668,0.06721218,41695.919481882556,0.00011650292102656344,5.0,5.0,0.5
140,2092.901611328125,3755.0201416015625,1601.2421575,1601.2415175,1600.3125,3788.281,14.74673,0.028602786,89408.94369649037,4.339945238383783e-05,5.0,5.0,0.5
141,2092.8680419921875,3824.5147705078125,1601.24144,1601.24118,1600.2031,6840.465,21.856245,0.01916119,89363.54909441022,1.1895913480985318e-05,5.0,5.0,0.5
142,1569.6563720703125,3752.4871826171875,1601.2415183333333,1601.2412533333334,1600.2031,3747.3022,12.787991,0.019078458,119130.53150004814,2.072256766591883e-05,5.0,5.0,0.5
143,14020.556640625,4689.776611328125,1601.0957611111112,1601.0836962962962,1600.1562,15734.836,137.38435,0.09607409,13232.661726955748,8.781796831657656e-05,5.0,5.0,0.5
144,12974.142456054688,4653.1402587890625,1601.0841348,1601.0711292,1600.1562,13340.73,130.86311,0.10324611,14287.625828503556,9.938323842052877e-05,5.0,5.0,0.5
145,12450.946044921875,4615.5914306640625,1601.0776081249999,1601.0640783333336,1600.1562,10293.905,124.574715,0.10725552,14875.15576621608,0.00010860784793424185,5.0,5.0,0.5
146,10890.0634765625,4507.6202392578125,1601.0704442857143,1601.055479047619,1600.1562,5056.568,115.69944,0.119344674,16996.157785800373,0.00012934581269375783,5.0,5.0,0.5
147,10366.668701171875,4471.307373046875,1601.06114325,1601.0458385,1600.1562,3775.6338,110.25864,0.14324157,17841.761293292227,0.00013880772055044943,5.0,5.0,0.5
148,9843.707275390625,4433.1817626953125,1601.0525715789474,1601.036095263158,1600.1406,2818.414,105.810875,0.13061972,18768.710986940452,0.00015571476749470518,5.0,5.0,0.5
149,9835.07080078125,4394.44580078125,1601.0348715789473,1601.0179131578946,1600.1406,2929.4277,102.42109,0.16495097,18755.961261983022,0.00016557548049736325,5.0,5.0,0.5
150,8788.894653320312,4285.748291015625,1601.0136620588235,1600.9922529411765,1600.1406,8627.77,98.27233,2.6181705,21176.556834641422,0.00021785498906247945,5.0,5.0,0.5
151,8265.792846679688,4185.3729248046875,-6.25e+28,1600.976983125,1600.1562,14026.821,92.93188,81.75903,25627.698155006256,-6.72535645743819e+26,5.0,5.0,0.5
152,7693.2861328125,4034.36279296875,-1.6666666666666666e+29,-1.3333333333333333e+29,1600.25,16407.566,87.77773,9.2127905,25415.324311223038,-3.797470298148295e+26,5.0,5.0,0.5
153,7170.4681396484375,3959.033203125,-2.1428571428571427e+29,-1.4285714285714285e+29,1600.1562,15447.483,82.78787,51.38288,25901.78165699333,-8.627902787169638e+26,5.0,5.0,0.5
154,7185.3607177734375,3910.723876953125,-1.0714285714285713e+29,-7.142857142857143e+28,1600.1562,11654.474,77.92445,76.71076,24687.515113505953,-4.583193593577083e+26,5.0,5.0,0.5
155,4130.6365966796875,3727.9632568359375,1600.981453125,1600.96568375,1600.0938,282.3761,48.211536,0.22191767,41596.08230935435,0.0003270871698987628,5.0,5.0,0.5
156,4113.7298583984375,3510.1348876953125,1600.8899000000001,1600.88114875,1599.875,1792.4984,82.83316,0.13671714,40231.44472126357,0.00010564911392802715,5.0,5.0,0.5
157,3594.2474365234375,3336.6546630859375,1600.86037,1600.8510571428571,1599.875,506780.44,87.939255,0.061225753,45070.291485809816,0.00010590102415919338,5.0,5.0,0.5
158,2616.19873046875,3829.9713134765625,1601.2427360000001,1601.2420900000002,1600.4844,8699.932,21.327066,0.030855302,71595.29309367658,3.029014807723945e-05,5.0,5.0,0.5
159,2616.1773681640625,3864.35546875,1601.242336,1601.24192,1600.2188,4910.7705,22.118683,0.01972285,71570.00192668996,1.8807629852765584e-05,5.0,5.0,0.5
160,2616.1224365234375,3861.81640625,1601.241857,1601.2414780000001,1600.2031,6629.877,23.482378,0.014927134,71521.07118115888,1.6139762324854225e-05,5.0,5.0,0.5
161,14020.602416992188,4764.0380859375,1601.0958446296297,1601.083764074074,1600.1562,16555.707,143.25829,0.09630659,13242.84347609067,8.432709851060287e-05,5.0,5.0,0.5
162,14020.596313476562,4726.129150390625,1601.0958155555554,1601.0837551851853,1600.1562,15138.695,137.91516,0.09606534,13234.959544497737,8.744774882670182e-05,5.0,5.0,0.5
163,11936.300659179688,4619.683837890625,1601.0846654347827,1601.0712852173915,1600.1562,7030.4634,125.13502,0.107831314,15533.829840046834,0.0001069262439059809,5.0,5.0,0.5
164,11413.088989257812,4581.4971923828125,1601.07753,1601.0635722727272,1600.1562,5411.3413,119.392525,0.111982495,16228.857722588595,0.00011690620753355189,5.0,5.0,0.5
165,10879.928588867188,4473.6236572265625,1601.0509566666667,1601.0361747619047,1599.9688,3689.9104,114.458954,0.12197935,16998.30451294421,0.00012914590133696863,5.0,5.0,0.5
166,10364.993286132812,4506.7291259765625,1601.0566605,1601.042488,1599.9688,2831.9062,109.77261,0.12214299,17835.179007648047,0.00012910779423667976,5.0,5.0,0.5
167,9318.83544921875,4398.3184814453125,1601.0372058333332,1601.0210244444445,1599.9688,1820.201,104.43775,0.15964139,19823.58621406551,0.00015493811973649516,5.0,5.0,0.5
168,8797.216796875,4358.19091796875,1601.029696764706,1601.0118347058824,1600.1406,1389.8378,98.512474,0.14346883,20948.62606379832,0.0001813177366010449,5.0,5.0,0.5
169,8274.31640625,4318.2769775390625,1601.017659375,1600.998291875,1600.125,1522.2786,94.438576,0.15464096,22239.060433592756,0.00020508039058546955,5.0,5.0,0.5
