particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
46,133,274,1599.875,24.041748046875,17131.102,18935.324,6.3781943,24.868765,0.00037231666,0.0014033976717237153,0.0004217494575983423,1600.77417,1600.77686,1600.77417,511.541748046875,2407466.0149272773,10515142.860625861,POINT (2407466.0149272773 10515142.860625861)
46,134,272,1599.9688,24.1455078125,356.85266,1287.3915,5.004792,13.475351,0.014024814,0.0676624008795428,0.0006833450529317506,1600.77832,1600.78174,1600.77832,511.6455078125,2407456.0149272773,10515147.860625861,POINT (2407456.0149272773 10515147.860625861)
46,134,273,1600.3438,24.10888671875,516.8303,1804.2218,5.0152197,18.49057,0.009703803,0.046647585639062475,0.0002911138675189511,1600.77686,1600.77832,1600.77686,511.60888671875,2407461.0149272773,10515147.860625861,POINT (2407461.0149272773 10515147.860625861)
46,135,270,1599.8906,2486.4990234375,62.3578,62.3578,2.5978732,2.5978732,0.0966084,243774.81136301448,0.0,1600.7876,1600.7876,1600.7876,511.87744140625,2407446.0149272773,10515152.860625861,POINT (2407446.0149272773 10515152.860625861)
47,133,274,1599.875,24.041748046875,31200.818,33202.7,6.8778396,21.052496,0.0002204378,0.0007705486365761014,0.00039111118753192904,1600.77417,1600.77686,1600.77417,511.541748046875,2407466.0149272773,10515142.860625861,POINT (2407466.0149272773 10515142.860625861)
47,134,272,1599.9688,24.1455078125,356.85254,1485.0508,5.0011888,9.160521,0.014014721,0.06766242402515482,0.0006838374169665431,1600.77832,1600.78174,1600.77832,511.6455078125,2407456.0149272773,10515147.860625861,POINT (2407456.0149272773 10515147.860625861)
47,134,273,1600.3438,24.10888671875,516.83044,2001.8812,5.0141363,14.174656,0.009701705,0.046647574621357504,0.00029117676672674235,1600.77686,1600.77832,1600.77686,511.60888671875,2407461.0149272773,10515147.860625861,POINT (2407461.0149272773 10515147.860625861)
47,135,271,1600.0938,2453.1829833984375,1.0,1.0,0.20103104,0.20103104,0.20103103,242889.40429758813,0.0,1600.78406,1600.78406,1600.78406,511.7889404296875,2407451.0149272773,10515152.860625861,POINT (2407451.0149272773 10515152.860625861)
54,131,266,1600.4375,48.66943359375,2080.997,2899.8862,9.50684,40.06671,0.02499824,0.24417086195796867,0.0004991501020387861,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
54,132,266,1600.1562,24.4598388671875,3.4799194,818.8892,0.83748525,30.55987,0.24066225,7.0288520564763655,0.029887093397906416,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
54,133,265,1600.1875,50.1708984375,384.99835,815.4093,7.251741,29.722385,0.12992558,12.309856640281694,0.01709908794157776,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
54,134,264,1600.25,51.019287109375,186.09183,430.41095,8.25923,22.470644,0.12482843,2.4660146013650057,0.008272690139589322,1600.83289,1600.8525399999999,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
54,135,262,1600.375,53.497314453125,127.12293,184.3133,6.0333548,9.111998,0.07005275,1.861441721448113,0.005216552289335733,1600.88245,1600.891115,1600.88245,514.2486572265625,2407406.0149272773,10515152.860625861,POINT (2407406.0149272773 10515152.860625861)
54,135,263,1600.625,26.4923095703125,60.00583,244.31912,5.0994167,14.211414,0.08498202,0.44149560258987697,0.002011994809925443,1600.87219,1600.88245,1600.87219,513.9923095703125,2407411.0149272773,10515152.860625861,POINT (2407411.0149272773 10515152.860625861)
54,136,261,1600.2188,2772.564697265625,57.19036,57.19036,3.0786433,3.0786433,0.16792257,271820.5521087438,0.0,1600.89978,1600.8997800000002,1600.89978,514.6820068359375,2407401.0149272773,10515157.860625861,POINT (2407401.0149272773 10515157.860625861)
55,131,266,1600.4375,48.66943359375,889.34906,1301.521,8.008886,35.342346,0.025808953,0.2628797412114717,0.0004982732057430768,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
55,132,266,1600.1562,24.4598388671875,15.4696045,412.17194,2.3175828,27.33346,0.14981526,1.5811547657563108,0.01080004542085149,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
55,133,265,1600.1875,50.1708984375,193.44098,396.70233,7.050603,25.015877,0.07614021,2.0537971603833127,0.005306256463809595,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
55,134,264,1600.25,51.019287109375,98.406845,203.26135,8.645441,17.965275,0.12225044,1.4296334390689727,0.004466832618650086,1600.83289,1600.8525399999999,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
55,135,262,1600.375,53.497314453125,43.848686,44.848686,3.8485649,4.00298,0.11299609,7.53675205405241,0.0009455922613309369,1600.88245,1600.8855600000002,1600.88245,514.2486572265625,2407406.0149272773,10515152.860625861,POINT (2407406.0149272773 10515152.860625861)
55,135,263,1600.625,26.4923095703125,60.00582,104.85451,5.316853,9.319833,0.08860562,0.44149565872349983,0.0019297129167281189,1600.87219,1600.88245,1600.87219,513.9923095703125,2407411.0149272773,10515152.860625861,POINT (2407411.0149272773 10515152.860625861)
55,136,262,1600.0938,2717.333984375,1.0,1.0,0.15441507,0.15441507,0.15441507,269042.96875078994,0.0,1600.88867,1600.88867,1600.88867,514.404296875,2407406.0149272773,10515157.860625861,POINT (2407406.0149272773 10515157.860625861)
56,131,267,1599.9688,24.2950439453125,109.112885,340.57068,5.6375055,31.505516,0.051666725,0.2226597166032101,0.0006492233098049936,1600.7843,1600.78796,1600.7843,511.7950439453125,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
56,132,267,1599.9688,24.3865966796875,21.473831,231.4578,1.6549505,25.868011,0.07706825,1.1356425632181704,0.008852228513158917,1600.78796,1600.80261,1600.78796,511.8865966796875,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
56,133,266,1600.0938,49.505615234375,79.70607,209.98396,6.84853,24.21306,0.099691585,2.0586190976416616,0.0063307034342721495,1600.80261,1600.8139649999998,1600.80261,512.2528076171875,2407426.0149272773,10515142.860625861,POINT (2407426.0149272773 10515142.860625861)
56,134,265,1600.1875,50.640869140625,59.15783,130.2779,7.89686,17.36453,0.13314945,2.0240967302150272,0.005829826325367387,1600.82532,1600.839175,1600.82532,512.8204345703125,2407421.0149272773,10515147.860625861,POINT (2407421.0149272773 10515147.860625861)
56,135,264,1600.1875,52.0263671875,48.03935,71.12006,6.3072968,9.46767,0.13478091,3.22564140929161,0.009593373713999426,1600.85303,1600.866885,1600.85303,513.51318359375,2407416.0149272773,10515152.860625861,POINT (2407416.0149272773 10515152.860625861)
56,136,263,1600.0156,2724.005126953125,23.080715,23.080715,3.1603734,3.1603734,0.16163242,267060.5356413018,0.0,1600.88074,1600.88074,1600.88074,514.2059326171875,2407411.0149272773,10515157.860625861,POINT (2407411.0149272773 10515157.860625861)
57,135,265,1600.1875,51.495361328125,51.326393,80.631355,6.1672125,9.456978,0.108774126,4.136691263805635,0.013959208258063816,1600.84241,1600.8518100000001,1600.84241,513.2476806640625,2407421.0149272773,10515152.860625861,POINT (2407421.0149272773 10515152.860625861)
57,136,264,1600.0,2674.200439453125,29.304964,29.304964,3.2897646,3.2897646,0.16315985,262177.4399289476,0.0,1600.8612099999998,1600.8612100000003,1600.8612099999998,513.7176513671875,2407416.0149272773,10515157.860625861,POINT (2407416.0149272773 10515157.860625861)
58,132,269,1599.875,48.47412109375,241.9963,542.9145,8.114258,31.088932,0.03353978,0.400622609132318,0.000846015204234035,1600.78198,1600.785705,1600.78198,511.737060546875,2407441.0149272773,10515137.860625861,POINT (2407441.0149272773 10515137.860625861)
58,135,266,1600.1562,50.518798828125,57.995136,80.08109,6.0780277,9.078047,0.114200555,2.156757040673557,0.0063000759889857635,1600.82288,1600.836795,1600.82288,512.7593994140625,2407426.0149272773,10515152.860625861,POINT (2407426.0149272773 10515152.860625861)
58,136,265,1600.0,2647.430419921875,22.085957,22.085957,3.0000193,3.0000193,0.16007905,259553.23287742163,0.0,1600.85071,1600.85071,1600.85071,513.4552001953125,2407421.0149272773,10515157.860625861,POINT (2407421.0149272773 10515157.860625861)
59,132,270,1599.875,48.333740234375,310.7075,703.1114,7.609142,30.74661,0.024525318,0.31114040918055086,0.0008340912757626818,1600.77917,1600.782895,1600.77917,511.6668701171875,2407446.0149272773,10515137.860625861,POINT (2407446.0149272773 10515137.860625861)
