particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
105,8287.5,0.0,1e+30,1e+30,1600.2812,44226.688,108.80627,0.14917362,0.0,0.0,5.0,5.0,0.5
106,7312.5,0.0,1e+30,1e+30,1600.1562,10749.475,58.049046,30.446486,0.0,0.0,5.0,5.0,0.5
107,8775.0,0.0,1e+30,1e+30,1599.875,1255.7137,62.044502,0.11590646,0.0,0.0,5.0,5.0,0.5
108,8287.5,0.0,1e+30,1e+30,1599.875,794.10614,54.165596,0.10503727,0.0,0.0,5.0,5.0,0.5
109,9262.5,0.0,1e+30,1e+30,1599.875,2269.0564,65.98618,0.09592967,0.0,0.0,5.0,5.0,0.5
110,7800.0,0.0,1e+30,1e+30,1599.875,3126.1897,55.36564,0.08474125,0.0,0.0,5.0,5.0,0.5
111,5362.5,0.0,1e+30,1e+30,1599.9688,37365.164,53.861458,2.1286676,0.0,0.0,5.0,5.0,0.5
113,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.2031,10687.38,16.22445,0.0080863,0.0,0.0,5.0,5.0,0.5
116,15112.5,0.0,8.548387096774194e+29,8.709677419354838e+29,1600.1562,13815.448,125.85714,0.20241693,0.0,-1.2815349459665342e+26,5.0,5.0,0.5
117,14625.0,0.0,8.499999999999999e+29,8.999999999999999e+29,1600.1562,11053.038,121.340515,0.12952706,0.0,-4.120635217648712e+26,5.0,5.0,0.5
118,13650.0,0.0,9.464285714285715e+29,9.642857142857142e+29,1600.1406,12038.724,116.81454,0.39344016,0.0,-1.5286747102163409e+26,5.0,5.0,0.5
119,12187.5,0.0,1e+30,1e+30,1600.1406,15507.936,112.220795,10.933145,0.0,0.0,5.0,5.0,0.5
120,10237.5,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.125,19960.049,108.13768,25.204708,0.0,0.0,5.0,5.0,0.5
121,8287.5,0.0,1e+30,1e+30,1600.25,41705.832,104.06571,22.731289,0.0,0.0,5.0,5.0,0.5
122,8287.5,0.0,1e+30,1e+30,1600.1094,7997.3984,62.484642,3.3465788,0.0,0.0,5.0,5.0,0.5
123,9262.5,0.0,1e+30,1e+30,1599.875,907.69183,61.912685,0.13445577,0.0,0.0,5.0,5.0,0.5
124,10237.5,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,2422.2588,74.17498,0.10466732,0.0,0.0,5.0,5.0,0.5
125,9750.0,0.0,1e+30,1e+30,1599.875,4150.103,69.96039,0.110121384,0.0,0.0,5.0,5.0,0.5
126,3900.0,0.0,7.500000000000001e+29,8.75e+29,1600.2031,15030.122,25.41932,0.0088931555,0.0,-4.917519593992485e+27,5.0,5.0,0.5
127,3412.5,0.0,7.142857142857143e+29,8.571428571428572e+29,1600.2031,9172.784,18.8045,0.0072622853,0.0,-7.596965537619407e+27,5.0,5.0,0.5
128,2925.0,0.0,5.000000000000001e+29,6.666666666666666e+29,1600.1875,8171.2876,15.600778,0.0063868207,0.0,-1.0683228148095705e+28,5.0,5.0,0.5
129,15600.0,0.0,7.34375e+29,7.8125e+29,1600.1562,13560.847,129.27167,0.11687516,0.0,-3.626084579367107e+26,5.0,5.0,0.5
