nlay,nrow,ncol,elevation
0,165,235,1601.3590087890625
0,165,236,1601.354736328125
0,165,237,1601.3521728515625
0,165,238,1601.3466796875
0,165,239,1601.34375
0,165,240,1601.3369140625
0,165,241,1601.3291015625
0,165,242,1601.324951171875
0,165,243,1601.3160400390625
0,165,244,1601.311279296875
0,165,245,1601.3011474609375
0,165,246,1601.2958984375
0,166,232,1601.370849609375
0,166,233,1601.36962890625
0,166,234,1601.36669921875
0,166,235,1601.36474609375
0,166,236,1601.3603515625
0,166,237,1601.3580322265625
0,166,238,1601.3525390625
0,166,239,1601.3494873046875
0,166,240,1601.3427734375
0,166,241,1601.334716796875
0,166,242,1601.3304443359375
0,166,243,1601.3211669921875
0,166,244,1601.3162841796875
0,167,231,1601.382080078125
0,167,232,1601.381103515625
0,167,233,1601.3804931640625
0,167,234,1601.378173828125
0,167,235,1601.376708984375
0,167,236,1601.3724365234375
0,167,237,1601.3702392578125
0,167,238,1601.364501953125
0,167,239,1601.361328125
0,167,240,1601.3544921875
0,167,241,1601.346923828125
0,167,242,1601.3427734375
0,167,243,1601.33154296875
0,168,231,1601.38623046875
0,168,232,1601.386474609375
0,168,233,1601.3875732421875
0,168,234,1601.384033203125
0,168,235,1601.3826904296875
0,168,236,1601.3787841796875
0,168,237,1601.3765869140625
0,168,238,1601.3707275390625
0,168,239,1601.367431640625
0,168,240,1601.360595703125
0,168,241,1601.3536376953125
0,168,242,1601.3499755859375
0,169,232,1601.39990234375
0,169,233,1601.39892578125
0,169,234,1601.3975830078125
0,169,235,1601.396484375
0,169,236,1601.392333984375
0,169,237,1601.3897705078125
0,169,238,1601.3834228515625
0,169,239,1601.3797607421875
0,169,240,1601.371826171875
0,169,241,1601.3642578125
0,169,242,1601.360595703125
0,170,232,1601.407958984375
0,170,233,1601.406494140625
0,170,234,1601.405029296875
0,170,235,1601.4036865234375
0,170,236,1601.3994140625
0,170,237,1601.396728515625
0,170,238,1601.39013671875
0,170,239,1601.3861083984375
0,170,240,1601.37744140625
0,170,241,1601.368896484375
0,171,232,1601.42236328125
0,171,233,1601.422607421875
0,171,234,1601.42138671875
0,171,235,1601.420166015625
0,171,236,1601.41552734375
0,171,237,1601.412353515625
0,171,238,1601.4049072265625
0,171,239,1601.400634765625
0,171,240,1601.3897705078125
0,172,232,1601.4315185546875
0,172,233,1601.431640625
0,172,234,1601.4305419921875
0,172,235,1601.42919921875
0,172,236,1601.424072265625
0,172,237,1601.4207763671875
0,172,238,1601.41259765625
0,172,239,1601.408203125
0,173,232,1601.4554443359375
0,173,233,1601.45361328125
0,173,234,1601.4517822265625
0,173,235,1601.449951171875
0,173,236,1601.443359375
0,173,237,1601.439208984375
0,173,238,1601.429443359375
0,173,239,1601.424072265625
0,174,232,1601.4661865234375
0,174,233,1601.4659423828125
0,174,234,1601.463623046875
0,174,235,1601.4613037109375
0,174,236,1601.4537353515625
0,174,237,1601.4490966796875
0,174,238,1601.438232421875
0,175,232,1601.4964599609375
0,175,233,1601.4945068359375
0,175,234,1601.4903564453125
0,175,235,1601.4873046875
0,175,236,1601.4775390625
0,175,237,1601.470947265625
0,176,232,1601.523681640625
0,176,233,1601.522216796875
0,176,234,1601.5184326171875
0,176,235,1601.51611328125
0,176,236,1601.50732421875
0,176,237,1601.49951171875
0,177,232,1601.5357666015625
0,177,233,1601.53515625
0,177,234,1601.532958984375
0,177,235,1601.5308837890625
0,177,236,1601.5233154296875
0,177,237,1601.515380859375
0,178,232,1601.561279296875
0,178,233,1601.5625
0,178,234,1601.5625
0,178,235,1601.561767578125
0,178,236,1601.5574951171875
0,179,232,1601.574951171875
0,179,233,1601.5770263671875
0,179,234,1601.5775146484375
0,179,235,1601.5771484375
0,179,236,1601.57421875
0,180,232,1601.6065673828125
0,180,233,1601.6104736328125
0,180,234,1601.6103515625
0,180,235,1601.609130859375
0,180,236,1601.6048583984375
0,180,237,1601.6004638671875
0,181,232,1601.6236572265625
0,181,233,1601.6292724609375
0,181,234,1601.627685546875
0,181,235,1601.6256103515625
0,181,236,1601.61865234375
0,182,232,1601.6668701171875
0,182,233,1601.668701171875
0,182,234,1601.6666259765625
0,182,235,1601.663330078125
0,183,232,1601.686767578125
0,183,233,1601.6888427734375
0,183,234,1601.6878662109375
0,183,235,1601.685302734375
0,184,232,1601.7294921875
0,184,233,1601.737060546875
0,184,234,1601.736572265625
0,184,235,1601.735595703125
0,185,232,1601.75634765625
0,185,233,1601.7625732421875
0,185,234,1601.761474609375
0,185,235,1601.7608642578125
0,186,232,1601.8095703125
0,186,233,1601.805419921875
0,186,234,1601.8060302734375
0,186,235,1601.8076171875
0,187,232,1601.82763671875
0,187,233,1601.825439453125
0,187,234,1601.830078125
0,187,235,1601.8338623046875
0,188,232,1601.9473876953125
0,188,233,1601.94580078125
0,188,234,1601.963134765625
0,188,235,1601.9781494140625
0,189,232,1602.0611572265625
0,189,233,1602.060546875
0,189,234,1602.0748291015625
0,189,235,1602.0899658203125
0,190,232,1602.265869140625
0,190,233,1602.25
0,190,234,1602.268798828125
0,190,235,1602.2852783203125
0,191,232,1602.3453369140625
0,191,233,1602.3265380859375
0,191,234,1602.35205078125
0,191,235,1602.366455078125
0,192,231,1602.5589599609375
0,192,232,1602.490966796875
0,192,233,1602.46240234375
0,192,234,1602.4989013671875
0,192,235,1602.5128173828125
0,193,230,1602.6400146484375
0,193,231,1602.649658203125
0,193,233,1602.626708984375
0,193,234,1602.6434326171875
0,193,235,1602.656494140625
0,193,236,1602.7088623046875
0,193,237,1602.7862548828125
0,194,230,1602.6673583984375
0,194,231,1602.675048828125
0,194,232,1602.689208984375
0,194,233,1602.6923828125
0,194,234,1602.705810546875
0,194,235,1602.7193603515625
0,194,236,1602.765869140625
0,194,237,1602.831787109375
0,195,230,1602.69384765625
0,195,231,1602.696044921875
0,195,232,1602.721435546875
0,195,233,1602.7508544921875
0,195,234,1602.81005859375
0,195,235,1602.83154296875
0,195,236,1602.864501953125
0,195,237,1602.884765625
0,196,230,1602.698486328125
0,196,231,1602.6988525390625
0,196,232,1602.73046875
0,196,233,1602.775634765625
0,196,234,1602.8656005859375
0,196,235,1602.890625
0,196,236,1602.9195556640625
0,196,237,1602.926513671875
0,197,230,1602.6990966796875
0,197,231,1602.6993408203125
0,197,234,1603.002685546875
0,197,235,1603.027099609375
0,197,236,1603.043212890625
0,197,237,1603.044677734375
0,198,230,1602.6990966796875
0,198,231,1602.69921875
0,198,234,1603.0755615234375
0,198,235,1603.0963134765625
0,198,236,1603.1068115234375
0,198,237,1603.107421875
0,199,229,1602.69921875
0,199,230,1602.698974609375
0,199,234,1603.199951171875
0,199,235,1603.2161865234375
0,199,236,1603.2294921875
0,199,237,1603.2333984375
0,200,229,1602.6990966796875
0,200,234,1603.2481689453125
0,200,235,1603.267822265625
0,200,236,1603.282470703125
0,200,237,1603.286376953125
0,201,235,1603.360107421875
0,201,236,1603.36865234375
0,201,237,1603.371826171875
0,202,235,1603.4051513671875
0,202,236,1603.4051513671875
0,202,237,1603.406982421875
0,203,234,1603.4801025390625
0,203,235,1603.47412109375
0,203,236,1603.4649658203125
0,203,237,1603.465087890625
0,204,234,1603.4984130859375
0,204,235,1603.4945068359375
0,204,236,1603.4876708984375
0,204,237,1603.4869384765625
0,205,234,1603.52197265625
0,205,235,1603.525634765625
0,205,236,1603.5279541015625
0,205,237,1603.527099609375
0,206,234,1603.53759765625
0,206,235,1603.5457763671875
0,206,236,1603.55224609375
0,206,237,1603.55224609375
0,207,234,1603.595703125
0,207,235,1603.61279296875
0,207,236,1603.622802734375
0,207,237,1603.6251220703125
0,208,235,1603.6507568359375
0,208,236,1603.6629638671875
0,208,237,1603.666259765625
0,209,235,1603.8006591796875
0,209,236,1603.820556640625
0,209,237,1603.82470703125
0,210,235,1604.085205078125
0,210,236,1604.091796875
0,210,237,1604.1005859375
0,211,235,1604.2174072265625
0,211,236,1604.2174072265625
0,211,237,1604.22900390625
0,212,235,1604.40771484375
0,212,236,1604.4056396484375
0,212,237,1604.410400390625
0,213,235,1604.4881591796875
0,213,236,1604.47802734375
0,213,237,1604.4781494140625
0,214,234,1604.614013671875
0,214,235,1604.605224609375
0,214,236,1604.58544921875
0,214,237,1604.5810546875
0,215,234,1604.6510009765625
0,215,235,1604.64208984375
0,215,236,1604.62353515625
0,215,237,1604.6192626953125
0,216,233,1604.704345703125
0,216,234,1604.6925048828125
0,216,235,1604.68505859375
0,216,236,1604.673583984375
0,216,237,1604.6702880859375
0,216,238,1604.6697998046875
0,217,233,1604.71533203125
0,217,234,1604.7044677734375
0,217,235,1604.6988525390625
0,217,236,1604.690185546875
